gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
CHGB	-0.589803171727669	-0.519234910116863	3.497365176526392	-0.005252796299664225	-0.20226505616915305	-0.12316717933843249	-0.23909118951492675	-0.08431226087528902	-0.6557010377685423	-0.10832443524541109	-0.5233387730207057	-0.6217798978336796	-0.6557010377685423	-0.6557010377685423	-0.6409845739422748	-0.48342475348884123	-0.43989479794679814	1.0569298644982237	1.2478091229512647	0.745872744849455
HBB	-0.10655096601477615	-0.062121694094045735	3.1091406545881664	0.04970869241676433	-0.9599424376100117	-1.0579075379877545	0.5519970726527932	1.200728142055909	0.11182433814076558	-0.47743457766744185	0.4052135520025792	0.7571714952899921	-0.1375618262310432	-0.22209631447299086	-0.6129177292062348	-1.0337997676428212	-0.8943906060976929	-0.5284861473533377	-1.0348017353413608	0.9422273925725424
PLVAP	-0.42449926395487547	-0.29944116899224354	0.3831075376962974	4.1457522186522	-0.15261256015760227	-0.2802786239857293	-0.2277037725308315	0.25311112638637556	-0.42733679516452183	-0.23516473019519857	-0.305163460205592	-0.4088927388389696	-0.3856742290956975	-0.33822841276566856	-0.354877994612673	-0.2952554120504432	0.11081512608840717	-0.24355643768613533	-0.2500571684622665	-0.2640432401248326
EMCN	-0.5295338916643473	-0.37639880558226696	0.2923785571254003	3.9110012497203166	0.072519355533808	0.4435411207929209	-0.37633258487435184	0.42918957158033966	-0.5077059595909574	0.7465228150803864	-0.42245724557982567	-0.5607653219750244	-0.527843506633574	-0.47552018015353603	-0.4327132295238953	-0.4500059046219628	-0.05988749898593352	-0.38286382442927913	-0.36903329227275744	-0.42409142394545996
CD34	-0.4951556360105525	-0.4660070251947951	0.024022138508355915	3.554134892778593	1.6288456056812062	0.9507435420978305	-0.40134639647209963	-0.2969624813105038	-0.41636256393032345	0.1922176599951017	-0.4787588052475234	-0.5369561325222317	-0.4399683165660741	-0.5218943834162094	-0.48285119941148424	-0.4476347514077816	-0.4026073523218799	-0.31418796757149875	-0.32538954008384136	-0.3238812875942892
KDR	-0.43475986794874544	-0.4067944477269306	-0.18074621990820686	3.346629634315566	0.7475403650763414	2.1935201950331615	-0.35169242702137693	-0.2448540973082094	-0.4268634162644695	-0.2934515792743776	-0.4078651804594909	-0.4704954712749658	-0.4559529975598443	-0.4410359446466686	-0.40932383896483354	-0.44426158012639494	-0.3365206880185698	-0.32590012069679897	-0.3198309435653006	-0.33734137365988576
ENG	-0.8693297127574132	-0.7056778758670101	-0.07438367995363737	3.2634531865401115	0.5933081036786005	0.7079476584261485	0.0559945821321799	-0.31770294537310984	-1.0557546127281343	1.4063925389591156	-0.5903563425879055	-0.7390193372635654	-0.21353459238811012	-0.11120142264908356	0.5439882311807273	0.1753524518177407	0.2007897499106227	-0.7505508938079553	-0.7206310215551424	-0.7990840657141801
PECAM1	-0.7318162056568095	0.08213302454170997	-0.0044121506907298476	2.9632516960534465	-0.5019842934402607	1.2301225718200857	1.089676778610114	0.19061010286054664	1.6625251637884917	-0.6197850026939753	-0.33311296210875935	-0.9533790285867072	-0.7330294668787382	-0.7564730126096051	-0.6403873630318773	-0.684942445536745	-0.19700642765971663	-0.4143915909423008	-0.08839332219079905	-0.5592060656473699
CDH5	-0.41478602552259497	-0.42027524098977637	-0.06394963394784875	2.9595041146421797	0.5184549457472108	2.7474016185045333	-0.38002731680778823	-0.238985956918339	-0.43007912793329955	-0.30657181616385615	-0.41654307824484266	-0.46794167166552425	-0.41306241411032	-0.4422169793100091	-0.4079185185244058	-0.372626204668146	-0.3924195165726631	-0.35613548517851473	-0.35649550585564627	-0.3453261864803482
KIT	-0.7123741728271109	-0.11470798207409161	1.112521433261357	2.233276332191659	-0.8254655124155031	-0.10014768982311753	0.07209550320074223	1.8808376451937634	-0.3748890387108474	-0.8184629985911168	-0.030266651408321243	-0.8321084262280486	-0.07127211894869157	-0.7624252454755147	-0.014794468313379687	-0.16909445452859334	1.9741756446584902	-0.8209642488770148	-0.7502864910251626	-0.8756470592594998
