gene	Adipo	Bcell	CLC	Endo	LEC	Myeloid	Neural-like	normal_Stromal_SC_1	normal_Stromal_SC_10	normal_Stromal_SC_11	normal_Stromal_SC_2	normal_Stromal_SC_3	normal_Stromal_SC_4	normal_Stromal_SC_5	normal_Stromal_SC_6	normal_Stromal_SC_7	normal_Stromal_SC_8	normal_Stromal_SC_9	Plasma	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
CHGB	-0.6793055178585865	-0.5948186851282373	4.213997798640299	0.020538982543362998	-0.1206323107391858	-0.2594206588386238	-0.07411382038651605	-0.2010688501104999	0.04387361644823987	0.5105408142188346	0.04528744527955787	-0.2305549725957114	-0.5007524754594415	-0.2915234724075513	0.12742450511341938	-0.138173663689819	-0.2757774232341093	0.05597498262383405	-0.7582007868987646	-0.599731975760469	-0.7175891916818481	-0.7582007868987646	-0.7582007868987646	-0.7405817129795381	-0.5519454919388506	-0.4998298809163882	1.2922218431307413	1.5207492804304819	0.9198131959928978
HBB	0.08623433435610668	0.1328071877703012	3.457073603088656	0.2500330610079523	-0.9110223897734325	0.7765553759836058	1.4565858084977985	-0.28848381016724334	-0.930160797085054	-0.2893036249016628	-0.6027381080368877	-0.7644664393794379	-0.8956931834255466	-0.847394164169096	1.4801387950132334	-0.8195366276849587	-0.7830386039699709	-0.32871892932087377	0.31514560366211497	0.622689982846877	0.9916288601242654	0.05372729148407622	-0.03488573679963048	-0.4445631335387546	-0.8857514905243777	-0.7396162475966721	-0.3560579765742355	-0.8868018002128438	1.185613159325691
PLVAP	-0.4284624708505768	-0.2780469756270358	0.5428986957541052	5.0684758941379195	-0.25499893785099664	-0.1917637484755665	0.3865435666414499	-0.09809097177266947	-0.27570913419567944	-0.1587300782551134	-0.22826495053564702	-0.09503221355794073	-0.2676069844836336	-0.16277699617066865	-0.3170806201383713	-0.1794723033052726	0.0017286119694392742	-0.16335598648546162	-0.43187535397692506	-0.2849295470185663	-0.4096914892141698	-0.3817650791530662	-0.32469891353060965	-0.34472444725979656	-0.2730124938250029	0.2153949228088091	-0.2108307787278704	-0.2186496299529659	-0.23547158694811618
KDR	-0.47529887807496707	-0.44314527968649986	-0.18324344820827182	3.8724019053135	2.5465996282672676	-0.37979102896877576	-0.2569522974623524	-0.3344181377871443	-0.2644864426808508	-0.3745203936809775	-0.3236302821112983	0.8097033209394554	-0.3188743384348105	-0.2676304474429273	-0.31357581597314393	1.4897380107630125	0.2859060683849766	-0.30840997141301896	-0.4662198320911672	-0.44437636829489763	-0.5163863435379227	-0.4996659490041726	-0.48251487726252157	-0.4460534795056251	-0.4862235927740377	-0.3623471286489671	-0.35013599598536727	-0.34315788221175625	-0.36329072242673804
EMCN	-0.7044684409250574	-0.5485712799820847	0.13226872093821743	3.8161599749450774	0.2861577813720659	-0.5485038648610714	0.2715473753925012	0.7054829956277304	-0.062135457110534635	-0.4285815600193331	0.3107042550973884	0.2729630067106135	0.14251964672223072	0.0806384091005528	1.4079449701458657	-0.42894774812364456	-0.40558929308075725	2.2157175361530848	-0.6822468016746405	-0.5954604692383795	-0.7362631879173512	-0.7027475666699126	-0.6494804921017889	-0.6059014388454372	-0.6235060193623605	-0.22635110583942428	-0.555152907416256	-0.541072916000203	-0.5971241230370933
PECAM1	-0.6344383227850299	0.2998116459055711	0.20047519560693358	3.606756267005898	1.6174726974927545	1.456269181301529	0.4243215087606578	-0.317672982134225	-0.28911246609771735	-0.43909297681043835	-0.6034014709811181	-0.4341566151746292	-0.6838359067774675	-0.36739225797553965	-0.6785071161564439	-0.40598837070645305	-0.20485466084725812	-0.5632608801223783	2.113783883768698	-0.17680720897371982	-0.8887478702426431	-0.6358309025879789	-0.6627393767930805	-0.5294964047996442	-0.5806366760731085	-0.020584288882510814	-0.27009872351256997	0.10408170577538271	-0.4363166071834705
CDH5	-0.4337692974120963	-0.4401914046782084	-0.023308284719206106	3.513981224804149	3.26583192373371	-0.39310334849232137	-0.22809201898925946	-0.34435743526286183	-0.3914898362270126	-0.07490316890519935	-0.3070055637318717	0.8963530781511285	-0.34630889448019936	-0.1842176268764488	-0.33919844676627875	0.9302278803521967	-0.15030355528627753	-0.36807631157766124	-0.4516614615474594	-0.4358249611261467	-0.4959587420368089	-0.4317527583563961	-0.4658621399481165	-0.4257346580621141	-0.3844444178430361	-0.4076016017725813	-0.3651511016868463	-0.36557230785380773	-0.35250476340296805
CD34	-0.6673190953255085	-0.637557806676908	-0.13722866648618878	3.467083913142758	0.8089715954540105	-0.5715380691401939	-0.46496009707039315	0.17401555758982404	0.15993185141604147	-0.1482626163417723	0.23395393834506195	1.2848684426870183	-0.3905467778187813	0.1947036811768179	-0.10030570632042775	1.106882330043987	2.572065261606072	-0.31636244809017205	-0.5868698630615128	-0.6505776177866558	-0.7099982010366593	-0.6109717875889161	-0.6946198673819108	-0.6547560304303089	-0.6187993640614938	-0.5728255291586373	-0.4825476477075865	-0.4939846672954235	-0.49244471268214
ENG	-1.119342444627087	-0.9616908137244263	-0.3535426776801102	2.8619142074275743	0.40010490578350866	-0.22794466397832214	-0.5879407739819961	1.6012747199872912	1.0338187478420127	-0.6983770848405849	1.1900674359750476	0.698900880133298	0.42172034755814486	0.8695089532667457	1.6435472110725	0.22594364539103926	-0.3816340487494383	0.39556412507231997	-1.2989321765830568	-0.8505974820203538	-0.993809828492132	-0.48759169725560897	-0.38901051777517	0.24215696215964697	-0.11296298595659877	-0.08845833262486977	-1.0049185867597632	-0.9760957104225174	-1.051672316197091
KIT	-0.4870335826526833	0.15972929716203244	1.4877723471723443	2.7005942822484017	0.17548567872231283	0.361878192256057	2.319203693843724	-0.6721336452589093	-0.8259050402970635	-0.8259050402970635	-0.7181241287907254	-0.6750228782714541	-0.8259050402970635	-0.36813845081004565	-0.1408158212948691	-0.34001921212441444	-0.6705828026861593	-0.8259050402970635	-0.12182494175452403	0.25110725870938205	-0.6166036867345063	0.20673330099706055	-0.5411962178907778	0.26785044052279033	0.1008751205466229	2.4202091618858295	-0.6045440448336662	-0.5280602970253498	-0.6637189027502203
