gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LINC00348	2.2144628080510288e-8	3.8209845633212858	1	0.516	7.346923258270898e-4
AC133634.1	1.7609625272478273e-8	3.818260864309136	1	0.484	5.842345376650117e-4
GABRG2	1.662235646550179e-7	3.8166660781726645	1	0.452	0.005514799204559529
OTOP3	4.716290955866332e-9	3.8053117951421775	1	0.452	1.564723850427773e-4
BTG4	6.339320842632687e-8	3.8030065938796263	1	0.441	0.0021031964759602464
TMCO5A	4.0567695661192623e-8	3.8004272229026683	1	0.409	0.0013459144389513877
KCNU1	1.992086323422643e-12	3.8001783380691267	1	0.634	6.609144795219303e-8
RBPJL	7.756256218112605e-14	3.798647020437297	1	0.538	2.573293125483219e-9
FUT9	3.606439714800734e-12	3.7790663668320628	1	0.591	1.1965085041794395e-7
AC053503.2	1.2087154757966144e-7	3.772186678739182	1	0.441	0.0040101553340504276
AC000124.1	1.0183903801308555e-6	3.7702053972909892	0.75	0.398	0.03378713764160139
AC099511.1	1.0862208856439437e-8	3.768803819694007	1	0.473	3.603755032300912e-4
AL133464.1	1.5127304308306712e-7	3.7683067072368672	1	0.462	0.005018785750366918
LINC00550	2.2816539434438814e-7	3.767074979206711	1	0.43	0.007569843288163765
AC022639.1	5.38972840749417e-13	3.761388869612088	1	0.634	1.7881501937543408e-8
UGT2B15	4.600185342498488e-8	3.758696330323688	1	0.452	0.0015262034910807232
RFX6	7.689791068948578e-8	3.751527142981773	1	0.43	0.0025512419829450696
AL354810.1	5.100620032954216e-7	3.7492639206105194	1	0.43	0.016922327083332203
PPP1R3A	2.150885386126236e-10	3.7490112593781255	1	0.57	7.135992445551013e-6
AC007922.3	3.2832738632306506e-7	3.746888132603182	0.875	0.452	0.01089291769604033
AC011124.1	7.841603332260207e-7	3.7463271690635027	1	0.473	0.02601608737543969
LGI3	7.89949157129863e-14	3.746052333874551	1	0.516	2.6208143186097464e-9
DMRTC2	4.3791517111511624e-8	3.744601977910799	1	0.452	0.0014528711632086212
AL133372.3	3.3559032988790205e-7	3.7427589093963762	1	0.409	0.011133880374690926
LINC00305	3.6137827908831e-9	3.7394687760051855	1	0.452	1.198944716531286e-4
AC004852.2	1.6947301018811885e-7	3.7361344251631463	1	0.495	0.005622606059011219
GRXCR1	5.1323557902123095e-8	3.730444358681014	1	0.516	0.0017027616805187378
FAM167A-AS1	1.3849495876761892e-9	3.7303037612996888	1	0.57	4.5948472470332926e-5
AC016576.1	3.857594679046015e-8	3.730212818958419	1	0.441	0.0012798341866670964
AC099791.3	5.417753974509735e-8	3.7291967384309896	1	0.452	0.0017974482361230947
AC111198.1	3.8187054835172256e-8	3.7291548717769194	1	0.484	0.00126693191826651
AL445433.2	4.2628873715734854e-11	3.728570444925479	1	0.613	1.4142981432669353e-6
LINC02221	3.2067443240618123e-9	3.728387021757497	1	0.452	1.0639015643939875e-4
AC005042.2	2.3241806421201277e-9	3.726729674026392	1	0.527	7.710934116361947e-5
AC005993.1	2.458903209002969e-7	3.7243842033665833	1	0.43	0.00815790317650915
AL035696.3	5.975690904952641e-7	3.7200500660470226	1	0.452	0.019825549715361376
AL133240.1	1.4460888493416722e-6	3.718118267517869	1	0.355	0.04797688975460866
TEX101	4.886847222570699e-9	3.7171155734156662	1	0.505	1.6213093030322806e-4
OR2F1	1.89989080836559e-7	3.714324961872754	1	0.409	0.0063032677349145185
LINC00320	1.2194668957423558e-6	3.7140490546565044	0.875	0.441	0.04045825320004414
DAW1	9.978439006868316e-8	3.7092459479022803	1	0.462	0.0033105467093087013
AC097636.1	9.49487062451366e-9	3.708716785077406	1	0.495	3.150113227094897e-4
FLJ40288	1.687025060302034e-11	3.7072120438221967	1	0.591	5.597043042564057e-7
TTR	2.782433151536227e-10	3.7047618093932853	0.875	0.527	9.23127846685174e-6
AC097521.1	4.295066468478362e-9	3.7007886757210335	1	0.495	1.4249742022470662e-4
DNAJB13	5.183998814529658e-13	3.696119271533253	1	0.57	1.7198952866965047e-8
AC096588.1	2.9137860834520096e-9	3.6957102889322253	1	0.538	9.667068089068732e-5
SLC13A1	1.4090906575840472e-7	3.6923938060656547	1	0.473	0.004674940074666593
