pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
Spot Adherens Junction (1g)	-0.4323367440983828	2.0074219198538925	-0.27280917134633653	-0.5518344442452906	-0.6230259555280335	-0.1274156046358492
Inhibin-Betaglycan-Actrii Complex (3g)	-0.4291682902912826	2.029283777482494	-0.231351012908614	-0.5321487716488008	-0.49298517641276274	-0.34363052622103346
Ush2 Complex (4g)	-0.11305319976593171	2.0066384996285618	-0.25959203481378385	-0.5890494797576747	-0.510227823055563	-0.5347159622356084
Apical Tubulobulbar Complex (1g)	-0.23466718884794807	2.0248336277724848	-0.35355819694933055	-0.6111170126718355	-0.4665731340284599	-0.3589180952749107
Basal Tubulobulbar Complex (1g)	-0.23466718884794807	2.0248336277724848	-0.35355819694933055	-0.6111170126718355	-0.4665731340284599	-0.3589180952749107
Intrinsic Component Of Endosome Membrane (3g)	-0.40785533908398136	2.0071109160131466	-0.28350597450696247	-0.7452206454504275	-0.3430515870967763	-0.22747736987499947
Astrocyte Projection (13g)	-0.4726579638424155	2.0159206575922424	-0.23202378436311566	-0.3409896864485097	-0.674673512057677	-0.2955757108805252
Dendritic Spine Neck (7g)	-0.41229044886053884	2.0111783670263157	-0.14881247724188557	-0.5927048480838479	-0.28003839143150455	-0.577332201408538
Tubulobulbar Complex (2g)	-0.43986096769981814	2.019297914131068	-0.3225691157980147	-0.6509904157538672	-0.20919654435513424	-0.39668087052423295
Cyclin D2-Cdk6 Complex (1g)	-0.6101243340811151	2.0110408764650964	-0.57539035624606	-0.3570778111642296	-0.14715431653821565	-0.32129405843547515
Ire1 Complex (1g)	-0.5314429818828873	2.0031023499329637	-0.29590053809586925	-0.6665276647668493	-0.40239055773570476	-0.10684060745165318
Aip1-Ire1 Complex (2g)	-0.40908580086969387	2.005964364512932	-0.3066599510641915	-0.7470768425354947	-0.3389880579397804	-0.2041537121037714
Integrin Alpha1-Beta1 Complex (2g)	-0.5763648454893178	2.020571551766962	-0.260387135186809	-0.5108073987802557	-0.45876772816859307	-0.21424444414198715
Pcsk9-Ldlr Complex (2g)	-0.6226280418829674	2.0086679253562707	-0.2691902474745105	-0.3870626300249152	-0.5758580511515121	-0.15392895482236668
Endoplasmic Reticulum Sec Complex (2g)	-0.5399542480676236	2.0080374741174585	-0.4002509659930776	-0.6561228751123587	-0.22566050833468035	-0.18604887660971936
Rsf Complex (2g)	-0.5170409220565348	2.0186050514234615	-0.634149608660904	-0.34659581184695004	-0.25943863738201633	-0.2613800714770568
Sec62/Sec63 Complex (1g)	-0.38094535441080096	2.0103367698189074	-0.5911549972284753	-0.5878812268910943	-0.31723258471999805	-0.13312260656853991
Prespliceosome (19g)	-0.4154323130928434	2.0090893662063567	-0.2419690529909072	-0.6948070942273303	-0.45867817554756046	-0.19820273034771269
U2-Type Prespliceosome (19g)	-0.4154323130928434	2.0090893662063567	-0.2419690529909072	-0.6948070942273303	-0.45867817554756046	-0.19820273034771269
