gene	Adipo	Bcell	CLC	Endo	Eryth	Fib	LEC	Myeloid	Plasma	PSC	Tcell	unknown_5	ZF	ZG	ZR
S100A8	-0.14774431306438557	0.5436322292901568	2.856243842022516	-0.7334378983688075	0.7810897119199587	-0.7492752212365538	-0.9030010586203537	0.7972297584437588	0.4192749829112861	-0.7539639435216992	0.10433053402750717	-0.0255942414393884	-0.7108270429656866	-0.8125578380537544	-0.6653995013445534
SYT1	-0.5864645594341069	0.24114288240027243	2.411387874695551	-0.5301120265955788	-0.7185408768195338	1.9694101949897693	-0.14216273007956767	0.9988120299379465	-0.41621605970969056	-0.1776185726573443	-0.523365108662141	-0.6154529973820583	-0.6549253640328075	-0.5432555256392589	-0.7126391610114511
PLVAP	-0.39110820424282106	-0.2855295877883342	0.23108125114864844	3.5728274742437467	-0.39022875181174743	-0.21940682990799548	-0.2588172884236376	-0.22153576910143777	-0.40564329231559415	-0.21365849715520727	-0.2880641433899807	-0.395713566268515	-0.2361863375222061	-0.22699224623642542	-0.27102421122849263
EMCN	-0.5089804056688152	-0.3950816359799886	0.3177676959663176	3.3829058825454084	-0.5660066149293618	-0.2142399880489453	0.3057068424579379	-0.37690349677978907	-0.4855273428710116	0.5948118437549368	-0.43700974546432275	-0.4425834360886301	-0.38630917766448797	-0.36680214264339717	-0.4217482785858509
ID1	-0.33759805035964097	-0.4707076919090166	-0.4659354187982849	3.3661724856125557	-0.46501599605450844	0.45829446909059723	0.7256290544566691	-0.38689530499241387	-0.4938825507145301	-0.007022814252160065	-0.47672624532085456	-0.48176857802160844	-0.3243195245550569	-0.30817444246133835	-0.33204939172040837
CD34	-0.5124179144123636	-0.48395583070953363	-0.2844976331256955	3.3119534824710537	-0.5477229683853432	0.5029786515793632	0.7959397188046711	-0.4169602870579239	-0.4336742330794726	0.13435157270355372	-0.4989068997950649	-0.5251538459715374	-0.3373117956028936	-0.3482930916991925	-0.35632892571962105
ENG	-0.6752499465240792	-0.5392953622113063	-0.12312622190544259	2.9311867896011417	-0.4046412617586209	0.31509693785101944	0.684582103106206	0.15344529101122395	-0.8350128684432562	1.2749848550724079	-0.44380889300439647	-0.5727366509961177	-0.5439664368571042	-0.5856590326888298	-0.6357993022528445
KDR	-0.4598315167010907	-0.44610987129653595	-0.27593811433487025	2.911828121250936	-0.4691971238236271	0.07294431364298273	1.872043418594678	-0.3906619865809592	-0.463927024319144	-0.33121572953396083	-0.44398120311366784	-0.47620672209565573	-0.36515586888190593	-0.362240658508062	-0.372350034299117
CDH5	-0.4432582966934486	-0.442108353972146	-0.2697056270495467	2.572561626442166	-0.4059219297970675	-0.026971206778753958	2.3186449301484764	-0.4150953686011316	-0.4559449146898441	-0.34400327322732593	-0.44628180234655107	-0.4634962751004224	-0.3864588526373417	-0.4048616623419266	-0.38709899335513553
PECAM1	-0.8132003455367828	-0.077116505458885945	0.02673713724809433	2.541803350268354	-0.7664312320877213	-0.7191793089660025	0.9732215119219907	0.9011438175214324	1.3770205997180924	-0.6890715249338936	-0.43098139125865437	-0.7538615308145252	-0.4662313833776993	-0.38497153171730686	-0.718881662526492
