gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
EDNRA	1.222975627069293e-20	2.704149201871289	0.272	0.137	4.0574662379277934e-16	0.135	PSC
UNC5C	1.3306987985334116e-20	1.5056896873634384	0.509	0.426	4.4148594038942995e-16	0.08300000000000002	PSC
LDLR	1.3405043729872495e-20	-1.398524365806006	0.088	0.477	4.447391358259797e-16	-0.389	PSC
ANKRD10	1.4113937184884213e-20	0.546147022926547	0.289	0.513	4.682580939829036e-16	-0.22400000000000003	PSC
NEURL1B	1.5352749443154498e-20	-0.7289234632131489	0.263	0.685	5.093581682755367e-16	-0.42200000000000004	PSC
PDE10A	1.735142845593023e-20	-2.8366821423260653	0.079	0.49	5.756683418823972e-16	-0.411	PSC
ITPR1	1.8246537354264916e-20	-1.1195104768691984	0.158	0.573	6.053653698024471e-16	-0.4149999999999999	PSC
PRICKLE1	2.0840109947270693e-20	-1.9509005117687697	0.088	0.497	6.914123277205998e-16	-0.40900000000000003	PSC
CLMP	2.2432168150944208e-20	-4.070730840940547	0.088	0.476	7.442320427438759e-16	-0.388	PSC
FKBP5	2.3038167325124988e-20	0.8276179781893642	0.868	0.948	7.643372773456717e-16	-0.07999999999999996	PSC
ACACB	2.4979863248461794e-20	1.1594521509103282	0.535	0.533	8.28756922994217e-16	0.0020000000000000018	PSC
MT2A	2.556207938253405e-20	-1.0398228730527665	0.096	0.47	8.480731076743322e-16	-0.374	PSC
AP000311.1	2.6824598315600633e-20	-0.8206465046026323	0.316	0.741	8.899596983166823e-16	-0.425	PSC
PARM1	2.864248550186577e-20	1.597065519288111	0.456	0.407	9.502717414954005e-16	0.049000000000000044	PSC
ADAMTS12	2.9622231932488265e-20	-1.1464917843134468	0.202	0.628	9.827767888241631e-16	-0.426	PSC
ECHDC2	3.1579017063559586e-20	-0.26696030166838103	0.281	0.663	1.0476970491177165e-15	-0.382	PSC
RIPOR3	3.5340891082209876e-20	-1.3115497187377314	0.377	0.79	1.172504743434477e-15	-0.41300000000000003	PSC
TRAK1	3.796692926486281e-20	1.6437068642508221	0.421	0.364	1.2596288122203535e-15	0.056999999999999995	PSC
NFIA	3.9464900166970406e-20	-0.6923845678580345	0.518	0.882	1.309326992839577e-15	-0.364	PSC
MARK3	4.207540657194376e-20	0.10187491233193713	0.456	0.763	1.3959357638373781e-15	-0.307	PSC
RGS6	4.611202701161408e-20	3.364902652134889	0.333	0.071	1.5298587201643203e-15	0.262	PSC
SLC44A2	4.6528078201222246e-20	1.9923772481072999	0.386	0.23	1.5436620504819504e-15	0.156	PSC
AC099066.2	4.7077674677285124e-20	4.763771219515171	0.202	0.027	1.5618960127682886e-15	0.17500000000000002	PSC
PTCH1	5.022459840372737e-20	-3.0754393770375206	0.053	0.444	1.6663015012404629e-15	-0.391	PSC
LMO7	5.129890083861408e-20	1.9023712381770754	0.281	0.234	1.7019436331226993e-15	0.047000000000000014	PSC
ITPR2	5.223568553147758e-20	-1.652620945159359	0.193	0.628	1.7330233388778317e-15	-0.435	PSC
EEF1A1	5.294323289563892e-20	-1.3868663313939358	0.167	0.599	1.7564976377786125e-15	-0.43199999999999994	PSC
ATRNL1	5.840301875987895e-20	-3.6208836353590392	0.035	0.414	1.937636953396504e-15	-0.379	PSC
MATN2	5.962073654363054e-20	-4.06062509787601	0.035	0.412	1.97803717630803e-15	-0.377	PSC
ZNF207	6.088646788826615e-20	0.15819819183574535	0.193	0.473	2.020030345129006e-15	-0.27999999999999997	PSC
EYA2	6.957285891733298e-20	2.5846460122064925	0.386	0.135	2.3082187403003565e-15	0.251	PSC
SH3BP5	9.118137651186717e-20	-1.533487329740259	0.14	0.559	3.0251245285342173e-15	-0.41900000000000004	PSC
ST3GAL1	1.5158420241652754e-19	-1.7964239020952188	0.132	0.55	5.029109083573134e-15	-0.41800000000000004	PSC
MED13L	1.6210563530810478e-19	0.641427208980454	0.693	0.832	5.378178662616992e-15	-0.139	PSC
CACNA1D	1.8420238803534567e-19	-3.796596910671855	0.044	0.42	6.111282627848663e-15	-0.376	PSC
TPCN1	1.871906679554059e-19	-1.2559420374368782	0.254	0.683	6.210424790756502e-15	-0.42900000000000005	PSC
SRPX2	1.9087123110702693e-19	-2.7779230467128313	0.061	0.453	6.332534834437833e-15	-0.392	PSC
MRPS6	2.0053812120993914e-19	2.0175286129903243	0.316	0.215	6.653253247382151e-15	0.101	PSC
HERC1	2.393848641943255e-19	0.7865343414953379	0.491	0.619	7.942071639375138e-15	-0.128	PSC
PAFAH1B1	2.717134678331739e-19	0.8656250432164527	0.465	0.566	9.01463772230121e-15	-0.10099999999999992	PSC
TPT1	3.1517554876499742e-19	-2.2679045563064015	0.088	0.491	1.045657918137632e-14	-0.403	PSC
LIMCH1	3.261760341326086e-19	-2.843987620180866	0.044	0.415	1.0821542284417555e-14	-0.371	PSC
WFDC1	3.59213217191968e-19	-4.870812101990989	0.009	0.344	1.1917616906777922e-14	-0.33499999999999996	PSC
CEBPD	4.35484154757175e-19	-1.9907316913943314	0.044	0.4	1.4448057802378795e-14	-0.35600000000000004	PSC
SCN7A	4.46166257855809e-19	-6.619231287699504	0.009	0.339	1.4802457936882175e-14	-0.33	PSC
ABCA6	4.52348554376284e-19	-1.5212655459575064	0.158	0.578	1.5007567988541975e-14	-0.41999999999999993	PSC
PTPRM	5.321960937791e-19	0.7943874160411648	0.474	0.587	1.76566698033092e-14	-0.11299999999999999	PSC
BABAM2	5.606950451820157e-19	-1.0835701947288447	0.307	0.725	1.8602179514003735e-14	-0.418	PSC
IGHG1	6.336098984946697e-19	5.507170040163863	0.167	0.007	2.1021275602357658e-14	0.16	PSC
FADS2	6.662691020088108e-19	-2.371351821184985	0.079	0.473	2.2104809997346316e-14	-0.39399999999999996	PSC
AUTS2	6.69526189847789e-19	-0.1813114710551602	0.509	0.835	2.2212870400580095e-14	-0.32599999999999996	PSC
RGN	6.695829455397015e-19	-7.055236434113912	0	0.3	2.2214753384170676e-14	-0.3	PSC
RARB	6.805258945835688e-19	-2.5806293790916994	0.061	0.446	2.2577807604599063e-14	-0.385	PSC
APBB2	6.97073015704696e-19	0.6271064307931495	0.561	0.728	2.3126791442034698e-14	-0.16699999999999993	PSC
MT-ND3	7.807534069561479e-19	-2.2617471453527074	0.132	0.543	2.590305578258412e-14	-0.41100000000000003	PSC
LPAR1	7.964065657324955e-19	-1.4378609563920701	0.167	0.579	2.6422380631307002e-14	-0.4119999999999999	PSC
LINC01807	1.0215134891569748e-18	-7.080521988657873	0	0.297	3.3890753029760956e-14	-0.297	PSC
PHLDB1	1.0721209493277823e-18	-0.8887015359286676	0.298	0.709	3.556975673584783e-14	-0.411	PSC
UBE2K	1.0791218930387329e-18	0.8248116460909143	0.412	0.554	3.580202704534604e-14	-0.14200000000000007	PSC
RBM6	1.092583426024648e-18	0.42753752271540746	0.632	0.824	3.624864032521975e-14	-0.19199999999999995	PSC
MAML3	1.1147520364835777e-18	-1.0781290194937185	0.175	0.585	3.698412831441566e-14	-0.41	PSC
SLC39A11	1.2190871722244138e-18	1.4386161499888088	0.421	0.401	4.044565511288938e-14	0.019999999999999962	PSC
LRCH3	1.4944656744958503e-18	0.6137160156172328	0.316	0.523	4.958188768274883e-14	-0.20700000000000002	PSC
LPL	1.874369871629533e-18	4.088677885481736	0.228	0.024	6.218596923105302e-14	0.20400000000000001	PSC
SASH1	1.9324114048835794e-18	1.5873869175912199	0.333	0.287	6.411161317982251e-14	0.04600000000000004	PSC
FARP1	2.093217326804814e-18	0.8639761538819941	0.368	0.477	6.944667125140332e-14	-0.10899999999999999	PSC
SCD5	2.1780854609716064e-18	-2.4395524227255794	0.053	0.425	7.226234133865498e-14	-0.372	PSC
NDRG2	2.212266848037145e-18	-1.786743794750915	0.149	0.56	7.339637721732835e-14	-0.41100000000000003	PSC
FRMD5	2.3062697200204487e-18	-3.618279296821118	0.026	0.375	7.651511050111842e-14	-0.349	PSC
LUM	2.570295680804836e-18	-2.6929048185120714	0.018	0.34	8.527469980206205e-14	-0.322	PSC
MUM1L1	2.5888827483983725e-18	-7.696450079462133	0	0.291	8.58913629436128e-14	-0.291	PSC
FBN1	2.8105139387430682e-18	1.336344755180225	0.404	0.399	9.324442094567877e-14	0.0050000000000000044	PSC
CCBE1	2.906444209460312e-18	-1.7378522892640569	0.105	0.492	9.642709953726477e-14	-0.387	PSC
MGP	2.9854494888582688e-18	-1.6116566495542193	0.132	0.534	9.904825769185079e-14	-0.402	PSC
COL15A1	3.317201016402192e-18	-3.5086213606895336	0.026	0.372	1.1005477812117552e-13	-0.346	PSC
DIAPH2	3.826567785252456e-18	0.8428807089217405	0.535	0.6	1.2695403941132072e-13	-0.06499999999999995	PSC
PGM5	3.838759424646447e-18	-3.5504360737484597	0.018	0.347	1.2735852143149516e-13	-0.32899999999999996	PSC
DDX5	3.88988126750966e-18	0.11489180474218363	0.316	0.621	1.2905459081216798e-13	-0.305	PSC
SGIP1	4.005102574314808e-18	3.528826872637073	0.254	0.053	1.3287728810804238e-13	0.201	PSC
FLRT2	4.0362437688595126e-18	-2.363565103962747	0.053	0.414	1.3391045951945204e-13	-0.361	PSC
KLF12	4.186440889086404e-18	1.254457900764352	0.5	0.478	1.3889354937721964e-13	0.02200000000000002	PSC
WSB1	4.215342758092418e-18	0.8175609864978197	0.421	0.535	1.3985242668523213e-13	-0.11400000000000005	PSC
TCF7L2	4.364880557537338e-18	-0.6459481112588952	0.298	0.681	1.4481364225741627e-13	-0.38300000000000006	PSC
AKR1B1	4.378479822553356e-18	-4.634588512612336	0.018	0.351	1.452648250728527e-13	-0.33299999999999996	PSC
SRPK2	4.7805734134368504e-18	0.9971498713759099	0.57	0.602	1.5860508413759438e-13	-0.03200000000000003	PSC
FHIT	5.102233238493664e-18	-1.132578713252215	0.254	0.665	1.692767921535043e-13	-0.41100000000000003	PSC
THY1	5.289185256050108e-18	4.426616844287076	0.167	0.028	1.7547929923997445e-13	0.139	PSC
ZER1	5.471265268764232e-18	1.0364409389419853	0.175	0.275	1.8152016782179093e-13	-0.10000000000000003	PSC
PDZRN4	5.534775668689604e-18	2.503500401392297	0.325	0.176	1.83627252360115e-13	0.14900000000000002	PSC
FGF12	5.545944459039054e-18	-3.719681714495515	0.026	0.37	1.839977993175387e-13	-0.344	PSC
MYOF	5.917182939497793e-18	1.588001796189323	0.395	0.311	1.9631437838371828e-13	0.08400000000000002	PSC
TGFBR2	6.205976630752505e-18	-1.0421140833800862	0.167	0.562	2.0589568667847586e-13	-0.395	PSC
ARID1A	6.399135119020409e-18	1.02722020137386	0.368	0.437	2.123041058437401e-13	-0.069	PSC
MARK1	6.549984878982828e-18	2.5479568111270448	0.298	0.139	2.1730884833001327e-13	0.15899999999999997	PSC
ARHGEF7	6.645073028824909e-18	1.2494999234454138	0.272	0.378	2.2046358787732401e-13	-0.10599999999999998	PSC
TNS2	6.738772788334748e-18	-0.5349909613382509	0.351	0.737	2.2357226479858194e-13	-0.386	PSC
ZBTB46-AS1	7.24767643702232e-18	-3.7119607272300557	0.044	0.401	2.4045616115108953e-13	-0.35700000000000004	PSC
JMJD1C	7.49063849390108e-18	0.42326086236392024	0.675	0.862	2.4851691331215613e-13	-0.18699999999999994	PSC
