pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
Endoribonuclease Complex (30g)	-0.5344465796942869	1.7351204773306559	-0.840375045305077	-0.28183504534273623	0.6371497522824355	-0.7156135592709891
Endonuclease Complex (36g)	-0.39998051406620844	1.7386108832917793	-0.692867031366348	-0.45512094128681435	0.6502912106868003	-0.8409336072592143
Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane (72g)	-0.1727341298532327	1.6012045884343233	-0.8422893953561648	-0.5054151334673181	0.8075997401301693	-0.8883656698877771
Escrt Complex (26g)	-0.5900210802499803	1.6984523573642114	-0.3493886804089947	-0.22739565490483324	0.5862414460498574	-1.117888387850252
Interleukin-18 Receptor Complex (3g)	-0.44122277928272113	1.7279710337804635	0.688685616525867	-0.811533844007395	-0.6498906884918895	-0.5140093385243233
Ku70:Ku80 Complex (3g)	-0.9881324607230412	1.8399400156284724	-0.6867220880667068	0.15353402538169897	0.05551095279298895	-0.37413044501340975
Maml1-Rbp-Jkappa- Icn1 Complex (3g)	-0.5240775394824022	1.535530791072747	-0.7202119117093038	-0.9420729850537691	-0.28674849365657545	0.9375801388293008
Ap-1 Adaptor Complex (7g)	-0.7528124516555348	1.5936100042377561	-1.1960877824519567	-0.0069940839198209814	0.6268891167700095	-0.2646048029804507
Nonhomologous End Joining Complex (9g)	-1.0484872168311468	1.6334005106671985	-0.9418255895800659	0.5684610014642217	-0.09810789754098741	-0.11344080817921472
Cytoplasmic Side Of Apical Plasma Membrane (3g)	-0.7941666993241159	1.680304241248173	-0.9918582956736012	0.28433505927155256	0.393028866437224	-0.5716431719592326
Rna Cap Binding Complex (15g)	-0.03325524938217409	1.7323735608359656	-0.14702148217376562	-0.8768948262773893	0.362137238522419	-1.0373392415250557
Mrna Cap Binding Complex (13g)	0.15397092343266305	1.7728077835543388	-0.3355127049167529	-0.7300572551483813	0.20855636276421496	-1.0697651096860763
Microspike (4g)	-0.5080528923836911	1.620268231809293	-1.0885703939680673	-0.5491379637017496	0.7587322214244625	-0.23323920318024563
Escrt Ii Complex (3g)	-0.27472916293641575	1.5150868592135254	0.22408726727403136	-0.04826731797042234	0.17896001938550463	-1.5951376649662217
Srebp-Scap-Insig Complex (3g)	-0.13036239157936358	1.591635831858329	-0.8273912849729353	-1.0822069587032386	0.720879233012434	-0.2725544296152254
Extrinsic Component Of Organelle Membrane (49g)	-1.2939870826275668	1.510156465230556	-0.41293726488297233	-0.6921709726747982	0.4567351612221113	0.43220369373266226
Outer Dense Fiber (6g)	-0.17765596920171275	1.9709259846659888	-0.2182294673812975	-0.19508984411262262	-0.8417531487339988	-0.538197555236354
Ap-4 Adaptor Complex (5g)	-0.8268725377141456	1.9072821430169902	-0.012193179406138285	-0.4827661305654889	-0.662839183272052	0.07738888794084124
Ipaf Inflammasome Complex (4g)	0.04972568356681797	1.533466752731714	-1.222861026492811	-0.7405715050114217	0.7048435488679999	-0.32460345366230337
Nucleotide-Excision Repair Complex (12g)	0.05195202142042437	1.8892833313323805	0.06875981403433087	-0.6361899248684915	-0.8802591925158082	-0.49354604940284796
Pole Plasm (20g)	-0.5171469663725612	1.567570371445867	-0.5870850554169879	-1.0345163754716329	-0.3048629257531714	0.8760409515684793
Germ Plasm (20g)	-0.5171469663725612	1.567570371445867	-0.5870850554169879	-1.0345163754716329	-0.3048629257531714	0.8760409515684793
P Granule (20g)	-0.5171469663725612	1.567570371445867	-0.5870850554169879	-1.0345163754716329	-0.3048629257531714	0.8760409515684793
Immunoglobulin Complex (186g)	0.5577005182143263	-0.33152190307211793	1.7649019249782676	-0.37017294350964974	-0.728338548525063	-0.8925690480857625
Immunoglobulin Complex, Circulating (94g)	0.07713825206586603	-0.04488371611644521	1.8942333878288156	-0.4222318601777404	-0.9692018882889828	-0.5350541753115148
Intrinsic Component Of External Side Of Plasma Membrane (24g)	0.3903282246021422	-0.9439143502734545	1.677373230107297	-0.9275892681597162	0.26481979001933426	-0.46101762629560294
Intermediate Filament (221g)	0.7413282711046401	-0.5562984850829037	1.6986795306873106	-0.5737092970424342	-0.8397428834485435	-0.47025713621806076
Late Endosome Lumen (9g)	0.7147448588725334	-0.5167919085970571	1.7219970204827721	-0.5613065861535759	-0.5824424776896377	-0.7762009069150356
Multivesicular Body Lumen (7g)	0.6295155206268924	-0.5782752917710559	1.7700354921506054	-0.5781299265435641	-0.500448358773119	-0.7426974356897582
Microvesicle (4g)	0.5269521281431332	-0.22778387156601268	1.7829759444822106	-0.5183213563525352	-0.780366975359758	-0.7834558693470373
External Encapsulating Structure (5g)	0.6933480245633078	-0.9338416141412155	1.6425455155657382	-0.042883296826037455	-0.7885428558517045	-0.5706257733100898
