gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	unknown_1	ZF	ZG	ZR
CHGB	-0.7309687200019658	-0.6659257293166396	3.036187317807254	-0.19218678381430304	-0.5612970914677595	-0.3008688448795873	-0.40447598265669876	-0.2650561432203707	-0.7917069922683049	-0.28718824054344144	-0.6697082727793175	-0.41652723769584205	0.7868303456343357	0.962764363933604	0.5001280112690365
HBB	-0.2733581297154277	-0.23091579535286944	2.798523381465168	-0.12408661605291982	-0.7083035237981504	-1.1821687399305896	0.5777991417780864	0.9754576759749306	-0.0647488666144876	-0.627655321068026	0.21551958197292057	-0.24806016550472124	-0.6764237950193457	-1.160096260251355	0.7285174321167865
SYT1	-0.7387661372625953	-0.046416576482679286	2.437527451858105	-0.6881450503764268	1.229604276327449	-0.42798805449254645	0.48614387327041886	1.4632585911111995	-0.6066561665296804	-0.42782661127877686	-0.6604671738295522	0.3411836425218981	-0.7653644203631268	-0.7735150014754406	-0.8225726429982451
PLVAP	-0.4472355873211185	-0.3379824124686063	0.2583053625809125	3.5454246598897643	-0.28189513534336613	-0.321241641862422	-0.24976997325362427	0.14473797888387332	-0.4497145095651331	-0.2818292701319292	-0.3429815169462153	-0.34475983736756227	-0.2891604283915557	-0.29483959275405447	-0.30705809594896305
ID1	-0.3600008115390242	-0.5111739301655365	-0.31342021152535776	3.369343841672097	0.43785808909408136	0.7314837021385705	-0.41188300320475124	-0.5030052621777347	-0.5138534559859519	-0.021898244029652292	-0.4950286583160465	-0.3988676929563118	-0.33119407198663536	-0.3548468255090368	-0.32351346550871096
EMCN	-0.5778750398806995	-0.4419663541092538	0.15157921904942903	3.3631375041944804	-0.2809077553212855	0.28573727447301434	-0.42169189477944535	0.2730001530061502	-0.5585025653087212	0.5546360940508093	-0.48284360966776096	-0.49687555714297577	-0.44770411308706304	-0.43542939866985186	-0.4842939568068251
CD34	-0.5585945293414493	-0.5307589384585403	-0.06280348741655882	3.3082928238109233	0.4435505528675884	0.8221730905686548	-0.463922682347088	-0.36932912644131133	-0.4833507473068294	0.09781554702166702	-0.5429363054974079	-0.4828464950205788	-0.38577867840627234	-0.3964756681074162	-0.3950353559253822
ENG	-0.7506971744548493	-0.6055439835340682	-0.04560913228053866	2.914930029091995	0.2232097891052527	0.6482901375406759	0.16261220149202968	-0.2614244170902629	-0.9160492390085742	1.2677851888521905	-0.5032580033983897	-0.1817019553077203	-0.6453447084396841	-0.6188068765890926	-0.6883918559789639
KDR	-0.4857520313464465	-0.4606170034971706	-0.2574472153646494	2.912921390847684	0.03579129301557786	1.8765186606281323	-0.4014201634039037	-0.3150667065443335	-0.47865478297969705	-0.35874561617400047	-0.46157936690306867	-0.4373900128653944	-0.38791002657269424	-0.3824551135046117	-0.3981933053354238
CDH5	-0.46599408209807475	-0.4708813116963254	-0.15363286995421918	2.5382477343680296	-0.06242725395981106	2.349405885622195	-0.43137618613841416	-0.30947348206078057	-0.47961003563415494	-0.36964740194108453	-0.4675584440950115	-0.4450291751842503	-0.4137755713770571	-0.41409610966158594	-0.4041516961894543
PECAM1	-0.9989407898426088	-0.22841688607858843	-0.3103447555303188	2.498990086760722	-0.8845747611055008	0.8583258180498801	0.7774270589254958	-0.12572721115284458	1.2676591287772783	-0.8928866077786384	-0.6215089203056193	0.5838341161547735	-0.6984512209527158	-0.38984541442415	-0.8355396414971655
KIT	-0.6922069969392199	-0.0969409821839013	1.12535998541277	2.241614029100903	-0.472019720708956	-0.08243916281381122	0.4033769588529493	1.8905907055454798	-0.3560771740836889	-0.7978697791070468	-0.012838760636588063	-0.7653968618144303	-0.800360984587009	-0.729967062529438	-0.8548241935080136
KLF5	-0.4351222074038976	-0.40270921924894043	0.1776473285232804	-0.36235364538220594	3.48109498031169	-0.3077886853033719	-0.35002384846425955	-0.09228685547037171	-0.34863016398312174	0.5427746261854318	-0.3962790487081133	-0.39700184800549093	-0.3729282084435992	-0.3477301128488315	-0.3886630917581988
POSTN	-0.39308674699282464	-0.28596194640118955	0.06337631641127482	0.5512330074183719	3.4550184771166874	-0.3629048497258913	-0.33184312904964386	0.1846297668456675	-0.4639252545395583	-0.2076746187029027	-0.3995522490996717	-0.504367242186814	-0.4242369231926573	-0.40434817688940256	-0.47635643101144576
MFAP5	-0.5516371397985603	-0.28515207911145923	0.47535564405888636	-0.30175839167211793	3.4284260951173504	-0.2648487468695785	-0.35543071364797896	0.519490337982803	-0.5205470297790888	-0.2684788215122192	-0.45835283787416947	-0.4334061588553568	-0.33332539667530514	-0.2434351676092692	-0.4068995937539365
COL1A1	-0.14178128371503618	0.1494585336194648	-0.5184685547886653	-0.5558193250333033	3.2215975827983474	-0.5844826736028422	-0.25978058583770264	0.5281214184532346	-0.29092627582934527	0.8951132793062297	-0.11406796317501104	-0.3735500299311474	-0.6422101403118324	-0.6553642470401125	-0.6578397349122779
EMILIN3	-0.49362822574396004	-0.48538562493883347	0.21724692767916962	-0.127495407785821	3.164596248170517	-0.7388166995195876	-0.34908477502962143	0.5891361731998451	-0.7388166995195876	0.9419535745735698	-0.55942969097905	-0.6953969897352991	-0.310452261842896	-0.11805322284996914	-0.29637332567847524
TNC	-0.21651065825574783	0.343665985316114	0.3294296536026859	-0.5177523403421214	3.1136195716233144	-0.8017549675773081	-0.20454046262579442	0.9746232734171019	-0.3458157239968906	0.20222527930309153	-0.15749516106749586	-0.41352529356161233	-0.7583143716709767	-0.7745894295261228	-0.7732653546382375
COL1A2	-0.14444452948787304	-0.04208723240003784	-0.4830994603462337	-0.4893179551447725	3.109686841058506	-0.5158536676546764	-0.3321592502686658	0.023041082913462133	-0.2933536579458035	1.4889050349174024	-0.24179713823379206	-0.4154468271581037	-0.5479473759454871	-0.5714436057891502	-0.5446822585147753
THY1	-0.4356766957998028	-0.35419338717215954	-0.012593942508266886	1.759523942680293	2.949183082654199	-0.6456903373530704	-0.4273160495216366	-0.08471571551589488	-0.3944000499830055	0.0046017573553918225	-0.37420879968801474	-0.4556953046044764	-0.524973976105943	-0.5298911856726999	-0.47395333876491463
COL3A1	0.15382235085456206	-0.19051767765366506	-0.5029475775622271	-0.40911094393062475	2.831300803075027	-0.49348060152100864	-0.3958550172170168	-0.0844620697768184	-0.3988929028366114	1.9256611298690411	-0.31988877676112537	-0.45482128713952585	-0.5445871653980647	-0.563798007101461	-0.5524222569004812
MGP	-0.9801719843409337	-0.9436144023151924	0.3267708594007352	1.0190702354412313	2.055445133725002	0.132511484573449	-0.538482941304068	-0.9228632735927184	-0.9933189066683842	1.8624362050412884	-0.8944977076682163	-0.48294372354236775	0.08651811331576476	-0.07081408182306421	0.34395498975747385
CCL21	-0.3052349528334041	-0.3059348294787384	-0.22689714685938078	-0.18535235116991572	-0.2621735166931372	3.6121242112611447	-0.26817061864378544	-0.30551069531271585	-0.29050760135655995	-0.21283563503649444	-0.29575800041978395	-0.2657332074439457	-0.23392546432215908	-0.2134716297525957	-0.2406185619385286
PDPN	-0.4893973588410692	-0.2817315305785425	0.20195766074109095	-0.36975207278529293	0.49003866462388096	3.4455997218370347	-0.3482860916020954	0.24499632213385122	-0.4593551513911681	-0.3506413967064712	-0.3376329852241968	-0.4294650808192044	-0.4349262438168406	-0.4416412021364587	-0.43976325543451755
PROX1	-0.6317315920153549	-0.5829412020505146	-0.11927726654676205	-0.42661230934470196	-0.5141543657389953	3.0070888661220394	-0.44616111068374226	-0.5152220098683027	-0.5976292740123856	-0.398003456648645	-0.5965146034766259	-0.5376634883546811	0.5986713317193793	0.5443174524235411	1.215833028475752
EFNA5	1.7475455473242725	-0.5180671019514481	0.005595768980980601	-0.45504839770634226	0.7014496400862212	2.7671845672432878	-0.5542378243938667	-0.1436905500172848	-0.6212120786817139	-0.3857599421040427	-0.5514408402493236	-0.6065859948832644	-0.5774253780665524	-0.15258576596849496	-0.6557216496124285
