gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CENPU	1.3340665735704572e-14	4.01755110967604	1	0.875	4.426032671134706e-10
KIFC1	1.5118633013290102e-11	4.001925977795337	1	0.688	5.015908874819257e-7
MCM4	8.126251584370872e-31	3.9928386882478035	1	0.938	2.696046488146724e-26
SLC25A39	3.72652044325235e-33	3.9884007911212764	1	0.969	1.2363476874578322e-28
HMGA2	1.5869147193814933e-11	3.980429195090105	1	0.906	5.264906964491981e-7
ARHGAP11B	1.1640256266587424e-23	3.965217865769677	1	0.875	3.8618878215657095e-19
ACHE	4.022358699400149e-12	3.9608289940358627	1	0.906	1.3344979456999877e-7
SLC6A8	6.332214019029161e-9	3.9521774409334145	1	0.688	2.1008386450933048e-4
FUT1	3.832062472720431e-9	3.9355456503647304	1	0.438	1.2713633665744576e-4
ARHGAP11A	1.0492689720466416e-15	3.9334029269031294	1	0.875	3.4811596685591426e-11
PAQR9	2.9744553528414457e-7	3.931767374481871	0.75	0.312	0.009868350524122065
ORC6	3.5869404042266905e-14	3.920628013840982	1	0.625	1.190039217910289e-9
MINPP1	1.2266609833711255e-63	3.9172776059426053	1	1	4.069693144530383e-59
ZNF367	1.0774439791166272e-22	3.912590887618779	1	0.938	3.574635889515234e-18
CA3	2.5586941047752286e-16	3.9060057501509817	1	0.969	8.488979431412775e-12
NCAPG	6.237588597852678e-9	3.8989623432843348	1	0.688	2.069444769109583e-4
HIST1H2AM	1.1630426548952816e-14	3.870051143548813	1	0.344	3.8586266161460755e-10
FECH	2.0964104738683688e-47	3.8700308686801783	1	1	6.955261029153087e-43
MYBL2	9.761049492332618e-13	3.86068362198628	1	1	3.2384233900711925e-8
ART4	6.609771970018143e-7	3.836339176901957	1	0.781	0.021929240464929195
EPOR	9.785079048450667e-16	3.835919610120576	1	0.969	3.2463956759044776e-11
CDC45	1.3297073814956215e-10	3.8316614413140435	1	0.875	4.411570179588024e-6
MCM2	1.4036587168736384e-11	3.8264880963623806	1	0.719	4.65691852497167e-7
SEC14L4	8.576155099692345e-11	3.823948274292907	1	0.906	2.8453109774249293e-6
ITGA2B	6.9828827765208255e-12	3.8111867418051135	1	0.906	2.3167110187663143e-7
SEC14L3	6.653355422322177e-7	3.8029887737145125	1	0.781	0.022073837284638284
FAM83D	3.916436109439332e-10	3.8027892345519514	1	0.875	1.2993560080286871e-5
STIL	1.0325970917867581e-13	3.800894242068172	1	0.938	3.4258473714209273e-9
GTSE1	3.7218149473472123e-9	3.7974859368798306	1	0.938	1.2347865450813847e-4
UBE2T	1.0611395591588768e-16	3.7843559654749437	0.75	0.719	3.5205427154214054e-12
HIST1H3J	4.8803489944122065e-12	3.774915710606228	1	0.688	1.6191533858761377e-7
RAD51AP1	1.2456236474781952e-9	3.763107049822092	1	0.656	4.1326055752384084e-5
BLVRB	1.1789451231930782e-8	3.7591348813176597	1	1	3.9113862352176755e-4
ABCB10	2.190111110985013e-53	3.749614456957321	1	1	7.266131632914978e-49
ZWINT	1.3577274259577508e-8	3.7491897432692527	1	0.406	4.5045322811000296e-4
FANCI	9.664439229616347e-23	3.7387887911049917	1	1	3.2063710032098154e-18
DHRS13	6.065623516666933e-16	3.7294183047468588	1	0.906	2.0123919141245883e-11
CENPE	5.737745712139545e-9	3.7273542844197673	1	0.906	1.903611894916537e-4
SMIM1	7.706873618550068e-10	3.721439810872957	0.75	0.344	2.556909460426356e-5
CDK1	1.0559378904919885e-10	3.6952673448290443	1	0.625	3.50328513928527e-6
MELK	1.1631422825105333e-9	3.6906076110795603	1	0.969	3.858957150685196e-5
