gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AC147651.3	1.0221353971098552e-6	3.1033724814265113	1	0.688	0.03391138606991367
HSP90B1	2.9820171689183085e-24	3.0979875596649813	1	1	9.893438361320272e-20
HERPUD1	1.2480517726077817e-11	3.0967795135158607	1	1	4.1406613659808373e-7
NEDD9	7.078847504514357e-12	3.079320166433809	1	1	2.3485492365727282e-7
TP53INP1	1.1605732613112939e-14	3.0656963045260346	1	1	3.8504339090524796e-10
MIAT	1.9743780366721317e-8	3.056447582014737	1	0.969	6.550394012267132e-4
TPTE2	7.844452705900446e-8	3.0083101831972283	1	0.938	0.0026025540742365912
ERN1	1.6047134147461455e-15	3.000288111551442	1	1	5.323957696103287e-11
CARMIL1	3.5702029671139894e-10	2.9988672165725463	1	1	1.1844862383994082e-5
LYPD6B	1.5866585478786065e-7	2.9978072987527296	1	0.938	0.0052640570642968525
ATF5	4.468361741260304e-19	2.987616107995014	1	0.906	1.4824683748979313e-14
ALDH1L2	1.3159668456494782e-7	2.9785134249169527	1	0.875	0.004365983203811274
STARD5	1.3306809764377331e-8	2.9710395603868864	1	0.812	4.414800275527467e-4
TRPV3	9.041575641518716e-7	2.937462979832678	1	0.844	0.029997235505866644
FKBP2	8.36084517395628e-12	2.9201707356315745	1	0.969	2.773877603363475e-7
PDIA4	1.0640893140316377e-23	2.916680794432879	1	0.969	3.5303291171627643e-19
SPCS2	1.6397483934116688e-25	2.9102624288221635	1	1	5.440193244821894e-21
FICD	1.6242382363589058e-10	2.8950857839690225	1	0.844	5.388735196767942e-6
FAM174A	5.458203631858399e-13	2.8950077180473555	1	0.906	1.810868218941661e-8
CASP10	7.646882220724614e-11	2.892525714479569	1	1	2.5370061143698052e-6
HYOU1	9.737613556982553e-19	2.8682553885579436	1	0.938	3.2306480498001016e-14
CTHRC1	4.2417045899218164e-8	2.865456264424687	1	0.844	0.001407270331798361
LRRN1	5.0214348905969434e-8	2.8217522672125073	1	0.844	0.0016659614536533478
ZNF275	1.7119711559893917e-12	2.81464877486634	1	0.906	5.679806704226005e-8
FAM149A	2.1008934521972848e-7	2.813652788612084	1	0.875	0.006970134206354932
LAX1	1.009770722130542e-8	2.810592576969461	1	0.969	3.350116324812499e-4
CLPTM1L	7.026461666651734e-25	2.808100721427551	1	0.969	2.3311691871450456e-20
C16orf74	2.9902612395034794e-8	2.806415519952716	1	0.938	9.920789714300694e-4
LINC00571	2.448064717016866e-8	2.8056584872385795	1	0.906	8.121944311646857e-4
