gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TRPM2	2.981355046130514e-13	3.2215953014080574	1	0.938	9.891241636547205e-9
TGFBI	9.093325207465165e-7	3.2191637264131785	1	0.938	0.03016892504080718
TTYH3	8.690269498821342e-17	3.219080607120153	1	0.969	2.8831707116239565e-12
JDP2	1.8324757428550638e-9	3.2176695972553664	1	1	6.0796047720702456e-5
SLC31A2	1.679848597113488e-22	3.1980592200814333	1	0.844	5.573233690643419e-18
ME1	1.1660617393434308e-8	3.1915888078117947	1	0.969	3.8686430326197006e-4
EPB41L3	1.1040011412505e-8	3.18332420389799	1	0.906	3.662744586326784e-4
SIGLEC11	5.183245941514096e-12	3.177512465530009	1	0.562	1.7196455060161317e-7
C1QB	7.865858563322225e-8	3.1642513185182244	1	0.812	0.0026096558955534146
CD209	1.6367984253631205e-13	3.1603405443977346	1	0.5	5.430406135827225e-9
AC093627.3	8.763296079347569e-7	3.1542794825925693	1	0.562	0.02907398740245143
CCR1	5.87708870306088e-7	3.124581484929183	1	0.625	0.019498417190145084
EMILIN2	5.414081185397464e-11	3.1238544409892235	1	0.969	1.7962297148793166e-6
AXL	9.695632776066459e-9	3.1200277299322354	1	0.938	3.216720086115569e-4
GFRA2	3.6784364965515114e-9	3.1186307993477866	1	0.969	1.220394876460895e-4
ETV5	4.53267106530755e-9	3.111460820527736	1	0.906	1.5038042793370858e-4
CXCL3	2.9854542704099583e-7	3.1112714981584144	1	0.375	0.009904841632939119
SCN1B	8.577473459835134e-7	3.1077012806403896	1	0.719	0.028457483697695025
AC069023.1	5.983410428739102e-7	3.107308487733012	1	0.5	0.01985116077942772
TYROBP	4.8397552104176176e-8	3.1030386146010422	1	0.812	0.001605685586160253
BCAT1	3.737894294675521e-12	3.0998967953557877	1	0.969	1.2401211901444974e-7
CFP	1.1941268251099417e-11	3.0991658009027843	1	0.625	3.9617545676672536e-7
CXCL16	1.173711586399884e-17	3.0965290808460297	1	0.844	3.894022930198895e-13
SMPDL3A	1.0351143180112747e-13	3.093805614976516	1	0.688	3.434198772866006e-9
CCL8	2.2179039133473664e-10	3.0781720499091	1	0.656	7.3583398133125575e-6
RNF144B	4.031274171513703e-15	3.0698903317086397	1	1	1.3374558318831014e-10
TLR5	2.3422527676535022e-11	3.068678975126773	1	0.844	7.770892007244024e-7
MSR1	5.095984115434769e-7	3.061293511936322	1	0.969	0.016906946499777933
RCN3	9.071064986165062e-12	3.057828184683864	1	0.938	3.0095072304599826e-7
SIAH2	1.2093362639857173e-39	3.0554597766057485	1	1	4.0122149230254144e-35
KCNMA1	1.3602546694015128e-6	3.054897865552721	1	1	0.04512916916673399
AC008759.2	2.624948269342004e-7	3.0491428954228903	1	0.594	0.008708790873195968
P2RY12	9.680101990763439e-7	3.0369164092741108	1	0.781	0.03211567437475586
AC011337.1	8.0282670021953e-11	3.0296948723856763	1	0.5	2.6635381433183344e-6
AC244021.1	1.559854030039461e-10	3.0204831973975312	1	0.875	5.17512771546192e-6
MITF	1.0184994033028441e-7	3.0195564801154946	1	1	0.003379075470337846
SLC40A1	6.016893845633713e-7	3.0150994248774756	1	0.938	0.01996224871165897
OTULINL	3.2111449573026425e-12	3.013111868801179	1	0.906	1.0653615624842977e-7
LOXL3	9.178314266335367e-14	3.0106800057948355	1	0.906	3.0450893241420847e-9
PRSS36	1.1764910285071325e-6	3.006819198172794	1	0.594	0.03903244285278114
CD1C	2.8112126808058413e-7	3.0004726418269527	1	0.438	0.009326760311109539
ETS2	4.5848042596753966e-7	2.997462140685592	1	0.969	0.015211005092325064
SAP30	4.392578574713422e-19	2.9942230166271173	1	0.844	1.457325793732672e-14
RGS18	2.0703564924667952e-8	2.989266779547167	1	0.594	6.868821735057086e-4
PLEK	4.207688002563306e-7	2.9869714900927375	1	0.875	0.01395984648610428
FCN1	2.91569974061098e-7	2.984894976508019	1	0.844	0.009673417029425048
SIGLEC9	7.102832852468407e-7	2.981900488373187	1	0.75	0.023565068554634434
CCL4	1.0823549513938657e-8	2.9749436972675505	1	0.75	3.5909290222394284e-4
LST1	1.0647475474904477e-10	2.9699704120360426	1	0.688	3.5325129383090584e-6
SLC8A1	1.970198357746078e-7	2.9637252201695303	1	0.969	0.006536527091494163
METRNL	1.6469429513965048e-9	2.9573707301176615	1	0.844	5.464062629848184e-5
MRVI1-AS1	4.2428221070993236e-7	2.931411766135209	1	0.812	0.014076410904723426
MUC6	7.047043670088396e-7	2.927680556385404	1	0.938	0.02337997678425227
RNF135	7.740802754664717e-24	2.9257310525198186	1	1	2.568166129915113e-19
MYO7A	1.7648787875499725e-7	2.9237583034297585	1	0.844	0.005855338353454544
FCGR3A	6.238793292267315e-7	2.92170160272235	1	0.719	0.02069844450575527
ZEB2-AS1	1.2406258101225671e-9	2.9208776634541276	1	0.656	4.116024250243641e-5
CARD9	2.5143903319321577e-11	2.911747699958328	1	0.594	8.341992804251319e-7
SAMSN1	5.886649628579598e-9	2.91038854318439	1	0.969	1.9530137472738532e-4
HCLS1	5.466555007591665e-14	2.906922203651887	1	0.969	1.8136389548686867e-9
ARHGAP22	7.954374424186038e-9	2.905779874559858	1	0.938	2.639022802712202e-4
APBA1	5.402561467602548e-8	2.9023880559854867	1	0.969	0.0017924078181064972
LYZ	7.300962474389595e-7	2.9002234878999897	1	0.781	0.02422240320128236
IER3	2.457502730455755e-8	2.8920292931815585	1	0.844	8.153256808833059e-4
RCAN1	8.289263151384748e-10	2.8878702464367834	1	0.969	2.7501288357349178e-5
SRGAP2B	8.462730712546072e-16	2.881698757921995	1	1	2.8076801685014105e-11
DAPK1	5.957725006322222e-7	2.878540309494565	1	1	0.019765944253475234
TNFSF12-TNFSF13	7.186074420357544e-10	2.8556523001562795	1	0.781	2.3841239104420224e-5
NR4A2	4.928633109747303e-7	2.8489654462564227	1	0.938	0.016351726068208627
SLC46A1	1.105382985445723e-8	2.8277600300681582	1	0.688	3.6673291308132755e-4
AC004593.3	4.130246081243489e-9	2.8080400264196794	1	1	1.3702917423741523e-4
STARD13	7.279883583169772e-7	2.8069944897271775	1	1	0.024152469763882353
HCK	2.1824526235194903e-9	2.785853441126738	1	0.969	7.240723069050613e-5
CREG1	4.414581735467822e-10	2.7766349971525903	1	0.906	1.4646257823761593e-5
AC135050.3	2.485752024205076e-7	2.7728781860623095	1	0.875	0.00824697949070518
MAF	2.127151583995713e-7	2.7696332728285182	1	0.906	0.007057250810222577
FUCA1	2.497550364431679e-12	2.769484550668042	1	0.875	8.286122844074982e-8
AP003110.1	4.384309174384647e-12	2.7684523077194196	1	0.906	1.4545822547855943e-7
C9orf72	2.7734606664649247e-15	2.7660721620240953	1	0.969	9.20151045313068e-11
AKR1B1	7.26187424474193e-12	2.7465003148273537	1	0.844	2.40927201817803e-7
FAM20C	1.558268705748591e-7	2.7232656304594314	1	0.875	0.0051698680850621
AIF1	7.952498251512644e-7	2.720577660561272	1	0.656	0.0263840034490435
AP2A2	2.8916101359162987e-53	2.7185994358808934	1	1	9.593494947929504e-49
SRGAP2	1.0668343982249797e-14	2.7108704640237207	1	1	3.539436482991015e-10
ZKSCAN4	3.1675392847491314e-7	2.7093679927937897	1	0.688	0.010508945085012194
CD300A	4.623890017228739e-7	2.708581850014867	1	0.938	0.015340679910159787
NFKBID	2.1379896647726094e-10	2.6930591509386836	1	0.969	7.093208310816087e-6
KCNJ5	4.574780781026079e-8	2.6818661387289513	1	0.75	0.0015177750197210222
SPTLC3	6.26484425212934e-7	2.680088168835691	1	0.844	0.020784873775289512
ARRB2	3.426018794931986e-10	2.6796833875414032	1	0.969	1.136650255594585e-5
PDGFB	1.1983569561241451e-6	2.6764653817369926	1	0.875	0.03975788873333076
LGALS9	4.4863254525470793e-14	2.6735660558182115	1	0.969	1.4884281953915444e-9
IL1RAP	2.7830711614997534e-11	2.6714148614165425	1	1	9.233395192507732e-7
AC087672.2	1.954918037147979e-9	2.666358830657793	1	0.875	6.485831571845849e-5
DMXL2	6.758289672182928e-11	2.6545634330505785	1	0.969	2.24219776454013e-6
MPEG1	7.037494221637324e-8	2.6534407960718793	1	0.844	0.002334829457912615
ZNF331	7.894586700715874e-10	2.6424423955808565	1	1	2.6191870296965056e-5
GAS7	4.07103951352877e-8	2.6306724931022467	1	1	0.00135064877940344
C1orf162	1.3117995226602472e-6	2.6296825344672463	1	0.875	0.04352157276329902
ATP2A2	1.7658462134766713e-9	2.6133724519182637	1	1	5.8585479824515524e-5
SLC9A9	4.886106984180662e-19	2.612563030733487	1	1	1.6210637141416182e-14
SH3TC1	5.628106918667781e-10	2.60421980624748	1	1	1.8672370324064098e-5
FCGRT	5.332145532684558e-11	2.5921094171139107	1	1	1.7690459233787558e-6
CTSC	9.371904980216203e-9	2.582261868403298	1	0.969	3.1093169152863294e-4
NUDT16	4.620823561099208e-14	2.5669834389665827	1	0.844	1.5330506328658842e-9
RILPL2	5.942518307067892e-10	2.562262556770986	1	1	1.9715492987359147e-5
AC114781.2	4.276156582683522e-9	2.5537839799056994	1	0.75	1.4187004694369123e-4
FMNL2	4.778422710704007e-7	2.5350622787340487	1	1	0.015853373027302685
PLTP	3.961578273381376e-7	2.5226072012074576	1	0.875	0.01314332823759739
MAP3K8	1.486099281176696e-17	2.517411862154342	1	1	4.930431585159924e-13
PLEKHO2	9.870388560790006e-7	2.515907706260446	1	0.906	0.032746988128133
FCHO2	8.510038574947117e-9	2.515426281094231	1	1	2.823375498010205e-4
SPI1	1.0477401865680328e-7	2.509554239094884	1	0.938	0.0034760876169767623
CHN2	4.842425759603449e-10	2.4945512145602393	1	0.875	1.6065715942636362e-5
RAP2B	2.4347187123785416e-9	2.4894537362449936	1	0.906	8.077666272058288e-5
PIK3R5	8.033974105830634e-10	2.4775208253296848	1	1	2.6654315890914293e-5
FLVCR2	5.78200820509237e-10	2.469921141903942	1	0.969	1.9182968622034954e-5
GAA	1.3588996585941943e-17	2.4681817913635062	1	0.969	4.5084213973179584e-13
HAVCR2	3.6155521884646307e-13	2.4667671397948983	1	0.969	1.1995317495669105e-8
LY96	1.063069375951279e-6	2.4641321069509243	1	0.906	0.035269452685935586
SRGAP2C	5.52517550392734e-18	2.456100237815038	1	1	1.8330874769379737e-13
FES	2.623011463754404e-7	2.4517710772021735	1	0.938	0.008702365133297986
GPR137B	5.799758413282123e-8	2.4236916166400135	1	0.938	0.00192418584877461
GNA13	1.7262012012940602e-12	2.4171417949615757	1	1	5.7270177255333036e-8
RENBP	9.85200420762255e-7	2.408933952737221	1	0.875	0.032685994359629336
HSD17B14	1.108368536227401e-6	2.4041800892752434	1	0.906	0.036772342926416485
ATP6V1B2	8.704949072466947e-16	2.4032573232017076	1	0.938	2.888040953772359e-11
BBS5	6.491789023448657e-7	2.3710508975655413	1	0.938	0.02153780844309561
ZNF710	5.619274594336975e-17	2.3360107968618187	1	1	1.864306732163178e-12
OPN3	1.3902005907607534e-6	2.332124013205076	1	0.969	0.04612268499966952
MIR181A1HG	9.320258959380788e-12	2.3273794789524103	1	0.969	3.092182314953764e-7
PREX1	6.136215421621626e-8	2.326070906669402	1	1	0.002035812190431407
PAXBP1-AS1	4.2417046665599545e-8	2.3237564693129054	1	0.844	0.0014072703572245962
TMEM106A	1.1673838371526219e-13	2.321223538661363	1	0.969	3.873029356521253e-9
AP1S2	2.0471474452299376e-9	2.3103035162016323	1	0.969	6.791821079039364e-5
SERPINF2	6.42772433138764e-7	2.296853728661778	1	0.906	0.021325261014244774
PSTPIP2	1.4291594699016698e-6	2.291954776003981	1	0.969	0.0474152237329277
MBOAT1	6.27198349938793e-13	2.2916177438561753	1	1	2.0808559655919335e-8
IFNGR1	1.2694653783944332e-6	2.2892293461977613	1	0.969	0.04211705285899211
SHMT1	6.25321826171541e-8	2.2887139104796437	1	1	0.0020746302226893215
SH3BP5	8.981780484634039e-7	2.2877931931244833	1	1	0.02979885311387035
DOK1	6.105032017687546e-8	2.2678612330353816	1	0.875	0.002025466472508197
PSAP	3.4910862066345814e-9	2.260193861385939	1	1	1.1582376707751551e-4
SNX24	5.857647202057159e-13	2.260151105571467	1	0.969	1.9433916122265037e-8
SLC38A6	6.532636886957941e-9	2.257171952738876	1	1	2.167332939986036e-4
SH2B3	1.2051040194585681e-9	2.2530214599386302	1	1	3.9981736053576916e-5
SLC38A7	1.4756843289130378e-8	2.241110332360939	1	0.906	4.895877898034786e-4
TNFRSF1B	1.0552966155372855e-7	2.240787890299465	1	1	0.003501157581368052
