gene,Adipo,Bcell,CLC,Endo,Eryth,LEC,mCAF,Myeloid,Plasma,PSC,Tcell,ZF,ZG,ZR
EMCN,-0.5250678339037108,-0.41447309972329716,0.2776975233016254,3.253920566773223,-0.5804397968469198,0.26598653738498806,-0.23887740157552598,-0.3968222815605278,-0.5022951099056739,0.5467050285155061,-0.4559807804935762,-0.39790937162395795,-0.39079835865699136,-0.44164562168516136
CD34,-0.5355176507134675,-0.5077986054640686,-0.3135475147176721,3.1890137261012956,-0.5699010218969408,0.7386836627319529,0.4533707122285054,-0.4425520646494056,-0.4588296721114782,0.09436710637176583,-0.5261182515334373,-0.3659991663738467,-0.37144833685126233,-0.3837229231219406
ENG,-0.6978763890909331,-0.5652369176917363,-0.15921563446795464,2.820621091022005,-0.43386621918929147,0.6287975525519581,0.2683219035915247,0.11061196614423201,-0.8537436562350825,1.204803939753061,-0.49057552033455676,-0.5667937241490718,-0.6125698418143999,-0.6532785500897533
KDR,-0.47971601876763464,-0.4663791965434655,-0.30097990197935254,2.7973855143215665,-0.48881896768753746,1.7867615459938342,0.03811812758586439,-0.4124863462798662,-0.483696667983477,-0.3547072579305265,-0.46891613997241,-0.38605926290420783,-0.38518227978785313,-0.3953231480649349
CDH5,-0.4625352212998888,-0.4614180277824531,-0.2939251558870637,2.467397205303174,-0.42626215631279973,2.220711799314712,-0.05810356602746559,-0.4351743448719698,-0.4748605372666717,-0.3661068803615882,-0.46793194362334145,-0.40583533232759733,-0.42505144626937,-0.4109043925876766
PECAM1,-0.8533571712531746,-0.1282859374389871,-0.025986056972002347,2.45145205932463,-0.8072877740642376,0.9063378930525311,-0.7607427905548425,0.8353385585148184,1.3040957120129077,-0.7310854513674178,-0.5236263018420414,-0.49758162367532216,-0.41906269716501454,-0.7502084185718474
ALAS2,-0.2690035310460904,-0.2681932423655433,-0.23003280181007424,-0.2749961914474661,3.4738687560878305,-0.2690800744284753,-0.2730363130517243,-0.26871352395449377,-0.23309453124682636,-0.2822151784302773,-0.2529064860194822,-0.2838677588942102,-0.28444232637811306,-0.2842867970150535
GYPA,-0.284395595855181,-0.24249927508549515,-0.14168136127816217,-0.28227281007495636,3.471746454263941,-0.2959906692386625,-0.26036244984308526,-0.2685205043708898,-0.2959906692386625,-0.28153628562939836,-0.26226956641647137,-0.2845522473414649,-0.2850355898250478,-0.28663943006646414
SLC4A1,-0.2452928345115038,-0.24284508343944056,-0.10096608019648556,-0.2978516654933439,3.468750280669206,-0.29923078627075084,-0.2855608198314618,-0.27806714205730393,-0.21954378964767302,-0.3118503915094172,-0.24714728572574385,-0.31248966714267573,-0.3142199493650055,-0.31368478547840084
HBB,-0.26427354891894933,-0.2387671418382504,-0.0879106374924764,-0.24190909281861567,3.460001740022287,-0.4239010492476833,-0.3345439598689673,-0.2920279884186872,-0.21417702192471064,-0.3268446020217768,-0.16515984066645423,-0.3284934275921054,-0.37970267613939396,-0.16229075307421648
